crn,subject,title,course_num,credits,section,campus,days,start_dates,end_dates,times,linked
80899,PSY,"Research &ndash; Thesis",994,15,03," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
82138,PSY,"Research &ndash; Thesis",994,15,04," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80900,PSY,"Research &ndash; Dissertation",996,15,01," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80901,PSY,"Research &ndash; Dissertation",996,15,02," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
80902,PSY,"Research &ndash; Dissertation",996,15,03," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
82139,PSY,"Research &ndash; Dissertation",996,15,04," USask - Main Saskatoon Campus","''","'03-Sep-2025'","'05-Dec-2025'","'None - None'",""
83326,PUBH,"Epidemiology for Public Health",800,3,03," USask - Main Saskatoon Campus","'Friday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
83153,PUBH,"Epidemiology for Public Health",800,3,W01,"Off-campus Site","'Friday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
83134,PUBH,"Health Promotion",803,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
83914,PUBH,"Health Promotion",803,3,W02,"Off-campus Site","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
91815,PUBH,"Foundations of Public Health",804,3,05," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
91817,PUBH,"Foundations of Public Health",804,3,W05," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
83158,PUBH,"Biostatistics for Public Health",805,3,01," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1500 - 1620'","84957,83207"
91823,PUBH,"Biostatistics for Public Health",805,1.5,05," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1630 - 1750'",""
91825,PUBH,"Biostatistics for Public Health",805,0,07," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1330 - 1450'",""
91827,PUBH,"Biostatistics for Public Health",805,0,09," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1500 - 1620'",""
83207,PUBH,"Biostatistics for Public Health",805,0,T01," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1630 - 1750'","83158"
84957,PUBH,"Biostatistics for Public Health",805,0,T02," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1450'","83158"
83208,PUBH,"Biostatistics for Public Health",805,0,T03,"Off-campus Site","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1450'","86040"
86095,PUBH,"Biostatistics for Public Health",805,0,T05,"Off-campus Site","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1450'","86040"
86040,PUBH,"Biostatistics for Public Health",805,3,W01,"Off-campus Site","'Monday,Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1500 - 1620'","83208,86095"
91824,PUBH,"Biostatistics for Public Health",805,1.5,W05," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1630 - 1750'",""
91826,PUBH,"Biostatistics for Public Health",805,0,W07," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1330 - 1450'",""
91828,PUBH,"Biostatistics for Public Health",805,0,W09," USask - Main Saskatoon Campus","'Monday,Wednesday'","'03-Sep-2025'","'07-Apr-2026'","'1500 - 1620'",""
83270,PUBH,"Public Health Pathobiology",806,3,01," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
83931,PUBH,"Public Health Pathobiology",806,3,W02,"Off-campus Site","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'0900 - 1150'",""
82885,PUBH,"Health Program Planning and Evaluation",807,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
83538,PUBH,"Health Program Planning and Evaluation",807,3,W03,"Off-campus Site","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
82890,PUBH,"Introduction to Health Care Management",808,3,01," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1400 - 1650'",""
89355,PUBH,"Introduction to Health Care Management",808,3,W01,"Off-campus Site","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1400 - 1650'",""
82891,PUBH,"Field Epidemiology",809,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
91063,PUBH,"Field Epidemiology",809,3,W01,"Off-campus Site","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
84680,PUBH,"Environmental Public Health I",810,3,01," USask - Main Saskatoon Campus","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1400 - 1650'",""
83895,PUBH,"Environmental Public Health I",810,3,W01,"Off-campus Site","'Thursday'","'03-Sep-2025'","'05-Dec-2025'","'1400 - 1650'",""
82073,PUBH,"Interdisciplinary Public Health Practice",840,3,01," USask - Main Saskatoon Campus","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1620'",""
84685,PUBH,"Interdisciplinary Public Health Practice",840,3,W01,"Off-campus Site","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'1330 - 1620'",""
83458,PUBH,"Chronic Disease Epidemiology",844,3,01," USask - Main Saskatoon Campus","'Tuesday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
83133,PUBH,"Health Policy and Politics",867,3,01," USask - Main Saskatoon Campus","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
85325,PUBH,"Health Policy and Politics",867,3,W01,"Off-campus Site","'Monday'","'03-Sep-2025'","'05-Dec-2025'","'0930 - 1220'",""
91161,PUBH,"Leadership in Public Health",877,3,01," USask - Main Saskatoon Campus","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
91162,PUBH,"Leadership in Public Health",877,3,W01,"Off-campus Site","'Wednesday'","'03-Sep-2025'","'05-Dec-2025'","'1300 - 1550'",""
